count_location_id,countline_name,channel_type,traffic_eligible,review_status,notes
43772,s1_SouthbankPromenade_bn001,other,false,excluded,Promenade label and pedestrian-dominant observations; excluded from motor-vehicle traffic target.
43775,s2_Swanston_cyclelane_bn001,cycle,false,excluded,Explicit cyclelane label; excluded from motor-vehicle traffic target.
43891,s2_Swanston_crossing_bn001,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
44862,S3_RoyalPark_East_bn003,unknown,false,ambiguous,No road/path/cycle marker; mixed classes but pedestrian-dominant observations.
44863,S3_RoyalPark_West_bn003,unknown,false,ambiguous,No road/path/cycle marker; mixed classes but pedestrian-dominant observations.
44864,S3_RoyalPark_North_bn003,unknown,false,ambiguous,No road/path/cycle marker; mixed classes but pedestrian-dominant observations.
45038,S4_QueensBridgeSt_Road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
45039,S4_QueensBridgeSt_CycleLane_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
45040,S4_QueensBridgeSt_Path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
45191,DrumondSt_Middle_East,unknown,false,ambiguous,Vehicle classes observed but no explicit road marker; ambiguous Middle channel.
45192,DrumondSt_Middle_South,unknown,false,ambiguous,Vehicle classes observed but no explicit road marker; ambiguous Middle channel.
45193,DrumondSt_Middle_North,unknown,false,ambiguous,Vehicle classes observed but no explicit road marker; ambiguous Middle channel.
45216,S5_RoyalPark_path_1_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
45217,S5_RoyalPark_path_3_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
45218,S5_RoyalPark_path_2and4_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
45282,DrumondSt-Crossing,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
45283,DrumondSt-North-Crossing,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
45471,S07_WilliamSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
45472,S07_LaTrobeSt_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
45473,S07_WilliamSt_Crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
45474,S07_LaTrobeSt_East_Crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
45475,S07_LaTrobeSt_West_Crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
45733,S08_ICRTrail_path_east_arm_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
46416,S08_ICRTrail_path_north_arm_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
46417,S08_ICRTrail_path_west_arm_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
46418,S08_ICRTrail_path_south_arm_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
47018,S9_PrincesWalk_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
48806,DrumondSt-Road,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
48807,DrumondSt-Road_bike,cycle,false,excluded,Bike marker takes precedence over Road token; excluded from motor-vehicle traffic target.
48808,DrumondSt-Road_cars,road,true,approved,Explicit Road/cars label and observed motor-vehicle classes; approved for traffic target.
49129,S10_VicHarbourPromenade_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
49131,S11_SouthernCrossBridge_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
51228,S14_YarraPromenadeEast_Path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
51281,S15_YarraPromenadeWest_Path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
54629,S18_PowlettPark_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
54630,S18_PowlettPark_gymWest_bn003,other,false,excluded,Gym/facility label; excluded from motor-vehicle traffic target.
54632,S18_PowlettPark_gymNorth_bn003,other,false,excluded,Gym/facility label; excluded from motor-vehicle traffic target.
54633,S18_PowlettPark_gymEast_bn003,other,false,excluded,Gym/facility label; excluded from motor-vehicle traffic target.
55130,S18_PowlettPark_path2_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
56066,S19_BoathouseDr_road_south_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
56067,S19_BoathouseDr_road_north_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
56068,S19_BoathouseDr_path_clm01,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
56069,S19_BoathouseDr_road_west_clm01,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
56085,S19_BoathouseDr_path_clm01,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
56974,S20_BatmanAve_path_LHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
56975,S20_BatmanAve_path_RHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
56976,S20_BatmanAve_path_main_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57054,S21_Docklands_path_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57075,S20_BatmanAve_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
57885,S30_SwanstonSt_path_LHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57886,S30_SwanstonSt_path_steps_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57887,S30_SwanstonSt_path_RHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57964,Bike counts request,cycle,false,excluded,Bike label; excluded from motor-vehicle traffic target.
57969,S17_ArdenStation_path_split1_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57970,S17_ArdenStation_path_steps_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57971,S17_ArdenStation_path_split2_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
57972,S17_ArdenStation_entrance_south_bn003,other,false,excluded,Station entrance label; excluded from motor-vehicle traffic target.
58031,S6_Edge_Marina_path_Left_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58032,S6_Edge_Marina_path_Right_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58087,S26_SwanstonSt_road_bot_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58088,S26_SwanstonSt_road_top_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58089,S26_FlindersSt_road_east_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58090,S26_FlindersSt_road_west_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58091,S26_SwanstonSt_road_crossing_bn003,crossing,false,excluded,Crossing marker takes precedence over road token; excluded from motor-vehicle traffic target.
58095,S27_RoyalParade_path_LHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58096,S27_RoyalParade_path_RHS_bn003,path,false,excluded,Explicit path label; excluded from motor-vehicle traffic target.
58097,S27_ClaredonSt_road_south_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58098,S27_AlbertSt_road_west_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58099,S27_ClaredonSt_road_north_LHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58100,S27_ClaredonSt_road_north_RHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58101,S27_AlbertSt_road_east_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58102,S27_AlbertSt_corssing_west_bn003,crossing,false,excluded,Typo corssing label denotes crossing; excluded from motor-vehicle traffic target.
58103,S27_ClaredonSt_crossing_north_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58104,S27_AlbertSt_corssing_west_bn003,crossing,false,excluded,Typo corssing label denotes crossing; excluded from motor-vehicle traffic target.
58141,S28_SwanstonSt_road_bot_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58142,S28_FlindersSt_road_LHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58143,S28_SwanstonSt_road_top_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58144,S28_FlindersSt_road_RHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58145,S28_SwanstonSt_road_bot_RHS_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58146,S28_SwanstonSt_crossing_bot_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58147,S28_FlindersSt_crossing_LHS_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58148,S28_SwanstonSt_crossing_top_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58149,S28_FlindersSt_crossing_RHS_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
58248,S27_RoyalParade_road_bn003,road,true,approved,Explicit road label and observed motor-vehicle classes; approved for traffic target.
58250,S29_LaTrobeSt_cycleLane_RHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58251,S29_LaTrobeSt_cycleLane_LHS_bn003,cycle,false,excluded,Explicit cycle lane label; excluded from motor-vehicle traffic target.
58252,S17_ArdenStation_entrance_north_bn003,other,false,excluded,Station entrance label; excluded from motor-vehicle traffic target.
58254,S29_LaTrobeSt_crossing_bn003,crossing,false,excluded,Explicit crossing label; excluded from motor-vehicle traffic target.
